CensusTract,State,County,Pop2010,LILATracts_1And10,LALOWI1_10,TractLOWI
01043964700,Alabama,Cullman County,4643,0,NULL,2226
01043964800,Alabama,Cullman County,4289,0,239,1680
01043964900,Alabama,Cullman County,6683,0,1167,2171
01043965000,Alabama,Cullman County,6071,0,421,2394
01043965100,Alabama,Cullman County,3578,0,NULL,1513
01043965200,Alabama,Cullman County,2309,0,NULL,1089
01043965300,Alabama,Cullman County,4539,0,NULL,1707
01043965401,Alabama,Cullman County,3310,0,NULL,1567
01043965402,Alabama,Cullman County,4189,0,NULL,1716
01043965500,Alabama,Cullman County,5631,0,0,1559
01043965600,Alabama,Cullman County,2257,0,19,908
01043965700,Alabama,Cullman County,2652,1,357,1348
01045020000,Alabama,Dale County,4642,0,NULL,1358
01045020100,Alabama,Dale County,3823,0,276,1324
01045020200,Alabama,Dale County,2067,0,2,449
01045020300,Alabama,Dale County,2396,0,1103,1051
01045020400,Alabama,Dale County,2542,0,NULL,523
01045020500,Alabama,Dale County,2049,1,263,797
01045020700,Alabama,Dale County,3518,0,314,2103
01045020801,Alabama,Dale County,3361,0,NULL,1468
01045020802,Alabama,Dale County,4351,0,826,1548
01045021101,Alabama,Dale County,4893,0,1637,1739
01045021102,Alabama,Dale County,4387,0,NULL,2073
01045021200,Alabama,Dale County,2696,0,NULL,1092
01045021300,Alabama,Dale County,4034,0,NULL,1421
01045021400,Alabama,Dale County,5492,0,NULL,2926
01047956100,Alabama,Dallas County,6753,0,37,2019
01047956201,Alabama,Dallas County,2550,0,NULL,1212
01047956202,Alabama,Dallas County,2327,0,9,656
01047956300,Alabama,Dallas County,3791,1,372,2428
01047956400,Alabama,Dallas County,3150,0,16,2460
01047956500,Alabama,Dallas County,3811,0,285,2684
01047956600,Alabama,Dallas County,3811,0,NULL,1740
01047956701,Alabama,Dallas County,1855,0,137,488
01047956702,Alabama,Dallas County,1602,0,122,966
01047956800,Alabama,Dallas County,2789,1,247,1198
01047956900,Alabama,Dallas County,2804,1,1252,1296
01047957000,Alabama,Dallas County,1274,1,931,918
01047957100,Alabama,Dallas County,1345,0,222,872
01047957200,Alabama,Dallas County,1754,0,NULL,690
01047957300,Alabama,Dallas County,4204,0,214,2637
01049960100,Alabama,DeKalb County,5937,0,NULL,2272
01049960200,Alabama,DeKalb County,3530,0,NULL,1576
01049960300,Alabama,DeKalb County,6908,0,NULL,4012
01049960400,Alabama,DeKalb County,6483,0,NULL,2502
01049960500,Alabama,DeKalb County,5373,0,NULL,2097
01049960600,Alabama,DeKalb County,6393,0,NULL,3267
01049960700,Alabama,DeKalb County,8628,0,NULL,5369
01049960800,Alabama,DeKalb County,4498,0,NULL,2539
01049960900,Alabama,DeKalb County,3809,0,NULL,2007
01049961000,Alabama,DeKalb County,3914,0,NULL,1950
01049961100,Alabama,DeKalb County,3258,0,NULL,1255
01049961200,Alabama,DeKalb County,2107,0,NULL,592
01049961300,Alabama,DeKalb County,5967,0,NULL,3478
01049961400,Alabama,DeKalb County,4304,0,NULL,1923
01051030100,Alabama,Elmore County,10104,0,NULL,2394
01051030200,Alabama,Elmore County,4757,0,5,1102
01051030300,Alabama,Elmore County,2464,0,NULL,510
01051030400,Alabama,Elmore County,7712,0,NULL,2312
01051030500,Alabama,Elmore County,4695,0,NULL,1196
01051030600,Alabama,Elmore County,7405,0,NULL,1778
01051030701,Alabama,Elmore County,6257,0,NULL,533
01051030702,Alabama,Elmore County,3678,0,NULL,488
01051030800,Alabama,Elmore County,5784,0,1354,1644
01051030901,Alabama,Elmore County,6234,0,899,1039
01051030902,Alabama,Elmore County,3699,0,NULL,1431
01051031000,Alabama,Elmore County,6516,1,784,3201
01051031100,Alabama,Elmore County,4221,0,911,1080
01051031200,Alabama,Elmore County,1809,0,NULL,808
01051031300,Alabama,Elmore County,3968,0,NULL,1779
01053969800,Alabama,Escambia County,5955,1,469,2732
01053969900,Alabama,Escambia County,4361,0,4,1526
01053970100,Alabama,Escambia County,4516,0,NULL,1157
01053970200,Alabama,Escambia County,1739,1,667,1063
01053970300,Alabama,Escambia County,3632,0,139,2030
01053970400,Alabama,Escambia County,5744,0,435,1420
01053970500,Alabama,Escambia County,4819,0,1,2437
01053970600,Alabama,Escambia County,4035,0,0,2568
01053970700,Alabama,Escambia County,3518,1,460,2200
01055000200,Alabama,Etowah County,3660,1,1556,2079
01055000300,Alabama,Etowah County,2684,0,91,1831
01055000400,Alabama,Etowah County,3866,0,786,955
01055000500,Alabama,Etowah County,1814,1,1123,1190
01055000600,Alabama,Etowah County,1964,1,1260,1243
01055000700,Alabama,Etowah County,1376,1,504,904
01055000800,Alabama,Etowah County,1089,0,NULL,795
01055000900,Alabama,Etowah County,2698,1,1311,1301
01055001000,Alabama,Etowah County,1286,0,18,1031
01055001100,Alabama,Etowah County,4729,0,292,829
01055001200,Alabama,Etowah County,3546,0,48,1128
01055001300,Alabama,Etowah County,2571,0,10,1842
01055001600,Alabama,Etowah County,3524,1,879,1325
01055001700,Alabama,Etowah County,1638,1,425,803
01055010100,Alabama,Etowah County,2059,0,NULL,876
01055010200,Alabama,Etowah County,5518,1,1255,2064
01055010300,Alabama,Etowah County,2918,0,NULL,1068
01055010401,Alabama,Etowah County,3471,1,461,1874
01055010402,Alabama,Etowah County,5504,0,NULL,1284
01055010501,Alabama,Etowah County,8191,0,1147,1597
01055010502,Alabama,Etowah County,4988,0,614,630
01055010601,Alabama,Etowah County,5295,0,883,1396
01055010602,Alabama,Etowah County,3984,0,NULL,1254
01055010700,Alabama,Etowah County,3769,0,1327,1312
01055010800,Alabama,Etowah County,2953,0,NULL,1143
01055010900,Alabama,Etowah County,1721,0,NULL,573
01055011001,Alabama,Etowah County,4613,0,NULL,2070
01055011002,Alabama,Etowah County,4765,0,NULL,1638
01055011100,Alabama,Etowah County,5302,0,NULL,2261
01055011200,Alabama,Etowah County,2934,0,0,1455
01057020000,Alabama,Fayette County,1469,0,9,712
01057020100,Alabama,Fayette County,3669,0,0,1303
01057020200,Alabama,Fayette County,4499,0,NULL,1353
01057020300,Alabama,Fayette County,4054,0,50,2378
01057020400,Alabama,Fayette County,3550,0,15,1718
01059972900,Alabama,Franklin County,4008,0,43,1711
01059973000,Alabama,Franklin County,5373,1,432,2628
01059973100,Alabama,Franklin County,2378,0,136,988
01059973200,Alabama,Franklin County,3919,1,1033,1834
01059973300,Alabama,Franklin County,3452,0,34,1386
01059973400,Alabama,Franklin County,2652,0,26,1413
01059973500,Alabama,Franklin County,2231,0,42,964
01059973600,Alabama,Franklin County,1795,0,69,665
01059973700,Alabama,Franklin County,5896,0,4,3125
01061050100,Alabama,Geneva County,5098,0,4,2758
01061050200,Alabama,Geneva County,2323,0,NULL,695
01061050300,Alabama,Geneva County,5412,1,1032,2613
01061050400,Alabama,Geneva County,5907,0,NULL,2422
01061050500,Alabama,Geneva County,4288,0,NULL,1943
01061050600,Alabama,Geneva County,3762,0,NULL,1416
01063060000,Alabama,Greene County,1814,1,888,1168
01063060100,Alabama,Greene County,4410,0,154,2105
01063060200,Alabama,Greene County,2821,1,1016,2336
01065040000,Alabama,Hale County,3534,0,266,1395
01065040100,Alabama,Hale County,1582,1,384,758
01065040200,Alabama,Hale County,1590,0,127,682
01065040300,Alabama,Hale County,2093,0,8,890
01065040400,Alabama,Hale County,5399,0,NULL,2998
01065040500,Alabama,Hale County,1562,1,314,750
01067030100,Alabama,Henry County,1910,0,88,739
01067030200,Alabama,Henry County,2962,0,NULL,1118
01067030300,Alabama,Henry County,3093,0,NULL,1102
01067030400,Alabama,Henry County,1842,0,NULL,750
01067030500,Alabama,Henry County,5951,0,1279,2299
01067030600,Alabama,Henry County,1544,0,26,741
01069040100,Alabama,Houston County,4949,0,NULL,1373
01069040201,Alabama,Houston County,9001,0,917,1805
01069040202,Alabama,Houston County,8142,0,133,1457
01069040301,Alabama,Houston County,3928,0,726,1861
01069040302,Alabama,Houston County,3589,1,337,1886
01069040400,Alabama,Houston County,2484,0,17,714
01069040500,Alabama,Houston County,3458,0,55,1154
01069040600,Alabama,Houston County,2471,0,NULL,1529
01069040700,Alabama,Houston County,2662,0,NULL,1481
01069040800,Alabama,Houston County,7774,0,NULL,3399
01069040900,Alabama,Houston County,4657,0,624,1595
01069041000,Alabama,Houston County,5145,0,NULL,3379
01069041100,Alabama,Houston County,3849,0,22,1748
01069041200,Alabama,Houston County,2539,0,NULL,1771
01069041400,Alabama,Houston County,3093,1,513,1988
01069041500,Alabama,Houston County,4173,1,641,2250
01069041600,Alabama,Houston County,5377,0,NULL,2077
01069041700,Alabama,Houston County,1402,0,NULL,617
01069041800,Alabama,Houston County,2305,0,31,808
01069041900,Alabama,Houston County,7572,0,NULL,3318
01069042000,Alabama,Houston County,5683,0,285,2440
01069042100,Alabama,Houston County,7294,0,8,2802
01071950100,Alabama,Jackson County,6749,0,NULL,2944
01071950200,Alabama,Jackson County,3516,1,744,1649
01071950300,Alabama,Jackson County,5897,0,241,2714
01071950400,Alabama,Jackson County,2119,1,749,966
01071950500,Alabama,Jackson County,3518,0,65,1570
01071950600,Alabama,Jackson County,5951,0,348,2563
01071950700,Alabama,Jackson County,4272,0,NULL,2174
01071950800,Alabama,Jackson County,4059,1,713,1701
01071950900,Alabama,Jackson County,5613,0,NULL,1868
01071951000,Alabama,Jackson County,4438,0,NULL,2137
01071951100,Alabama,Jackson County,7095,0,NULL,3339
01073000100,Alabama,Jefferson County,3042,1,490,1954
01073000300,Alabama,Jefferson County,2735,1,1131,1513
01073000400,Alabama,Jefferson County,3338,1,1939,1970
01073000500,Alabama,Jefferson County,2864,1,1800,1921
01073000700,Alabama,Jefferson County,2577,1,835,2142
01073000800,Alabama,Jefferson County,3859,1,334,1866
01073001100,Alabama,Jefferson County,5355,1,2214,1944
01073001200,Alabama,Jefferson County,2876,1,1275,1300
01073001400,Alabama,Jefferson County,2181,1,897,811
01073001500,Alabama,Jefferson County,3189,1,1169,1954
01073001600,Alabama,Jefferson County,3390,1,1134,1453
01073001902,Alabama,Jefferson County,1894,0,5,1460
01073002000,Alabama,Jefferson County,3885,0,NULL,2852
01073002100,Alabama,Jefferson County,3186,1,927,1619
01073002200,Alabama,Jefferson County,2630,0,NULL,1473
01073002303,Alabama,Jefferson County,2936,0,NULL,2539
01073002305,Alabama,Jefferson County,2952,0,290,805
01073002306,Alabama,Jefferson County,3259,0,321,946
01073002400,Alabama,Jefferson County,3629,1,1458,2704
01073002700,Alabama,Jefferson County,3992,0,0,1508
01073002900,Alabama,Jefferson County,2064,1,1073,1120
01073003001,Alabama,Jefferson County,3779,1,2206,1413
01073003002,Alabama,Jefferson County,2203,1,1336,1709
01073003100,Alabama,Jefferson County,3637,1,1374,3045
01073003200,Alabama,Jefferson County,931,0,194,955
01073003300,Alabama,Jefferson County,947,0,14,545
01073003400,Alabama,Jefferson County,2477,0,NULL,1382
01073003500,Alabama,Jefferson County,2795,1,1252,1189
01073003600,Alabama,Jefferson County,4683,1,1016,2129
01073003700,Alabama,Jefferson County,5063,0,235,3228
01073003802,Alabama,Jefferson County,5409,1,688,2740
01073003803,Alabama,Jefferson County,4199,0,NULL,2019
01073003900,Alabama,Jefferson County,1783,1,610,784
01073004000,Alabama,Jefferson County,3772,1,456,1868
01073004200,Alabama,Jefferson County,2341,0,129,1237
01073004500,Alabama,Jefferson County,5003,0,NULL,2026
01073004701,Alabama,Jefferson County,3480,0,NULL,1017
01073004702,Alabama,Jefferson County,2944,0,25,483
01073004800,Alabama,Jefferson County,1861,0,NULL,505
01073004901,Alabama,Jefferson County,1167,0,NULL,418
01073004902,Alabama,Jefferson County,3146,0,0,1403
01073005000,Alabama,Jefferson County,3482,0,138,1674
01073005101,Alabama,Jefferson County,1507,0,NULL,1549
01073005103,Alabama,Jefferson County,2587,0,NULL,1343
01073005104,Alabama,Jefferson County,3648,0,2,1883
01073005200,Alabama,Jefferson County,3740,0,22,2087
01073005302,Alabama,Jefferson County,3463,0,318,630
01073005500,Alabama,Jefferson County,2167,1,1418,1435
01073005600,Alabama,Jefferson County,4578,0,NULL,1400
01073005701,Alabama,Jefferson County,2372,1,1001,1257
01073005702,Alabama,Jefferson County,3413,1,1319,1562
01073005800,Alabama,Jefferson County,4216,1,380,1718
01073005903,Alabama,Jefferson County,4950,1,245,2156
01073005905,Alabama,Jefferson County,5174,1,216,2885
01073005907,Alabama,Jefferson County,2096,0,429,772
01073005908,Alabama,Jefferson County,4101,0,161,2040
01073005909,Alabama,Jefferson County,2539,1,796,952
01073005910,Alabama,Jefferson County,5234,0,1805,2052
01073010001,Alabama,Jefferson County,5289,0,241,2364
01073010002,Alabama,Jefferson County,4932,1,291,1973
01073010100,Alabama,Jefferson County,2007,1,702,829
01073010200,Alabama,Jefferson County,2743,0,1,1905
01073010301,Alabama,Jefferson County,2685,0,292,1793
01073010302,Alabama,Jefferson County,4117,1,1568,2603
01073010401,Alabama,Jefferson County,3765,0,255,2449
01073010402,Alabama,Jefferson County,1855,1,475,987
01073010500,Alabama,Jefferson County,1628,1,1047,806
01073010602,Alabama,Jefferson County,6266,1,1353,2771
01073010603,Alabama,Jefferson County,2437,0,244,1000
01073010701,Alabama,Jefferson County,2218,0,369,462
01073010702,Alabama,Jefferson County,4484,0,NULL,766
01073010703,Alabama,Jefferson County,2304,0,NULL,181
01073010704,Alabama,Jefferson County,4892,0,2,546
01073010705,Alabama,Jefferson County,3487,0,NULL,332
01073010706,Alabama,Jefferson County,4880,0,480,1762
01073010801,Alabama,Jefferson County,5792,0,NULL,818
01073010802,Alabama,Jefferson County,3448,0,1,181
01073010803,Alabama,Jefferson County,6514,0,297,1309
01073010804,Alabama,Jefferson County,2984,0,30,251
01073010805,Alabama,Jefferson County,7367,0,642,860
01073010900,Alabama,Jefferson County,4989,1,1259,3523
01073011001,Alabama,Jefferson County,5663,0,292,1435
01073011002,Alabama,Jefferson County,2171,0,151,777
01073011104,Alabama,Jefferson County,7903,0,1342,2306
01073011107,Alabama,Jefferson County,10433,0,1126,1846
01073011108,Alabama,Jefferson County,4548,0,0,836
01073011109,Alabama,Jefferson County,4123,0,274,620
01073011110,Alabama,Jefferson County,5677,0,NULL,1213
01073011111,Alabama,Jefferson County,8018,0,928,1893
01073011205,Alabama,Jefferson County,2087,0,263,512
01073011206,Alabama,Jefferson County,5686,0,1282,1252
01073011207,Alabama,Jefferson County,5010,1,1623,2037
01073011208,Alabama,Jefferson County,3975,0,348,857
01073011209,Alabama,Jefferson County,3221,1,1414,1759
01073011210,Alabama,Jefferson County,3820,1,2121,2539
01073011301,Alabama,Jefferson County,3621,0,NULL,1213
01073011302,Alabama,Jefferson County,6267,0,NULL,1344
01073011400,Alabama,Jefferson County,6581,0,NULL,2302
01073011500,Alabama,Jefferson County,5902,0,NULL,1523
01073011600,Alabama,Jefferson County,4027,0,NULL,1096
01073011703,Alabama,Jefferson County,9111,0,956,2099
01073011704,Alabama,Jefferson County,3984,0,NULL,776
01073011705,Alabama,Jefferson County,7695,0,970,1442
01073011706,Alabama,Jefferson County,2394,0,NULL,926
01073011802,Alabama,Jefferson County,7512,1,1088,3020
01073011803,Alabama,Jefferson County,4802,1,192,2409
01073011804,Alabama,Jefferson County,2978,1,630,1167
01073011901,Alabama,Jefferson County,2957,0,NULL,1520
01073011904,Alabama,Jefferson County,2337,1,1001,1164
01073012001,Alabama,Jefferson County,4408,0,NULL,1394
01073012002,Alabama,Jefferson County,6387,0,940,2279
01073012103,Alabama,Jefferson County,4146,0,NULL,1175
01073012104,Alabama,Jefferson County,3024,1,519,929
01073012200,Alabama,Jefferson County,4160,0,696,772
01073012302,Alabama,Jefferson County,3829,0,15,1147
01073012304,Alabama,Jefferson County,2611,0,302,430
01073012305,Alabama,Jefferson County,7947,0,334,1001
01073012401,Alabama,Jefferson County,3737,0,502,1075
01073012402,Alabama,Jefferson County,3077,1,331,995
01073012403,Alabama,Jefferson County,3592,0,NULL,1295
01073012500,Alabama,Jefferson County,4454,1,2472,2303
01073012602,Alabama,Jefferson County,2973,1,1095,1481
01073012701,Alabama,Jefferson County,3537,0,1425,1465
01073012703,Alabama,Jefferson County,5593,0,310,569
01073012704,Alabama,Jefferson County,2131,0,NULL,394
01073012802,Alabama,Jefferson County,2759,0,NULL,437
01073012803,Alabama,Jefferson County,4734,0,0,765
01073012905,Alabama,Jefferson County,4277,0,25,483
01073012906,Alabama,Jefferson County,6671,0,242,999
01073012907,Alabama,Jefferson County,4831,0,956,1200
01073012908,Alabama,Jefferson County,4746,0,NULL,2811
01073012910,Alabama,Jefferson County,3347,0,10,437
01073012911,Alabama,Jefferson County,5757,0,342,460
01073012912,Alabama,Jefferson County,5473,0,NULL,1857
01073012913,Alabama,Jefferson County,4614,0,162,2055
01073012914,Alabama,Jefferson County,1927,0,34,405
